Nodo,Grupo
05FZA-115,0
04FMA-115,3
05AEP-115,4
06PRY-115,0
02SNS-115,2
03SLD-230,5
08PPO-115,7
03ING-69,5
06LBR-115,5
02LAV-400,2
02CJT-115,7
03IMP-115,5
03CNS-69,5
03RIG-115,5
05DGN-115,0
06RIB-138,0
04DYN-115,3
05SFB-115,4
04ORI-115,3
03AYL-115,5
03GKN-115,5
01PXA-85,2
05LGS-115,0
04EFR-230,3
02CIV-115,2
06MON-230,0
02ADD-115,7
01XOC-230,2
01TQC-115,2
08LAC-115,7
06MTN-115,0
05AMN-115,0
03GUD-69,5
06OVO-115,5
01TYA-230,2
03HYL-69,5
05LEX-115,4
02MDB-230,2
02MTL-115,2
03MIL-69,5
04TSR-115,3
06CYC-115,0
06MMD-230,5
02TPS-115,2
03COC-69,5
04CBA-115,3
03VYQ-115,5
05FXD-115,4
02RNA-115,2
03SPL-115,5
03NKA-69,5
04CUN-115,3
06MIG-138,0
04COC-115,3
03ZID-115,5
08SLC-230,7
01JDV-85,2
02ECM-115,2
03APZ-115,5
04LCH-115,3
05ISD-115,4
02MHT-115,7
06CMN-115,0
03UPT-115,5
05ALT-115,4
02TTP-115,2
06TMO-115,5
02CNJ-115,7
06CDT-115,0
02LMX-115,7
01AUR-230,2
01ATE-85,2
06PBS-115,0
03SEI-115,5
04CUS-115,3
01CTT-85,2
02KIM-115,2
02OWC-115,6
08CBU-115,7
06AUA-138,0
01NAU-85,2
05ARM-115,4
01ECA-230,2
01IXL-230,2
05CEJ-115,4
08NIZ-115,1
03ZLT-69,5
01ATU-115,2
05TBL-115,4
03TSM-115,5
05OAS-115,4
04SBK-115,3
05VEZ-115,4
06REY-138,0
03VAR-115,5
03MXT-115,5
02LRZ-115,2
04CUT-115,3
02MRO-115,2
05LEO-115,4
03LAS-115,5
03DEO-115,5
02PUE-115,7
06ALM-115,0
05DGD-115,0
01AVT-85,2
06POL-115,5
04GSV-115,3
08CAS-115,7
05SGP-115,5
02MID-400,7
06CYN-115,0
03LRE-115,5
03ABL-115,5
02HCO-115,7
03PUU-69,5
01TDK-230,2
02RBO-115,2
06LDC-115,5
06CIM-138,0
